,tons_5,tons_8,tons_9,tons_21,value_5,value_8,value_9,value_21,MEHOINUSGAA672N,GARETAILNQGSP,Population
2012,3912.975,2778.1376,24.3644,402.789488,11983.187787734078,5572.087447550572,1581.4940258625315,41739.23174330632,0.6201000000000001,25886.8,9901430.0
2013,3957.4195,2707.4496,23.5562,376.0373,11538.481391987,5104.496839750556,1186.207067562862,28506.23038693271,0.5983,27403.9,9972479.0
2014,3900.1591,2749.0998,22.9007,379.9418,11209.248192821064,5094.327791663641,1133.4811918565456,28309.352941786536,0.6221000000000001,28584.6,10067278.0
2015,4016.5752000000007,2704.8259000000003,23.1388,384.6917,11452.78669489087,4966.1878827736455,1134.743824242673,28399.692342471943,0.6378,30876.7,10178447.0
2016,4101.2203,2928.3802,22.3962,365.7503,11607.69658289309,5326.019279119716,1087.9856678983315,26747.0577457477,0.6665000000000001,32555.2,10301890.0
2017,9524.724295,5969.296823000001,53.971043,943.352858,26427.357971,11005.518837,2064.781814,57498.04971,0.7096,33869.1,10410330.0
2018,10795.056161999999,6524.380052,61.490806,1081.711064,29923.288122,12348.824706,1957.05454,58204.07902,0.6696000000000001,35560.5,10511131.0
2019,10911.869594,6603.46983,58.989432,1106.543378,30314.784878,12498.519522,1877.4440280000001,59540.23958,0.6694000000000001,36771.7,10617423.0
2020,11030.017726,7528.692202,59.997348,1135.141412,30614.020648,14249.706392,1909.522546,61079.02455,0.6933,38498.9,10732888.0
2021,10885.657874,7648.586928000001,57.08243,1196.363662,30379.690714,14476.633581999999,1816.750548,64373.239674,0.6886000000000001,45540.4,10792060.0
2022,10875.680356,7003.433434,51.737752,1301.8115579999999,30415.204726,13255.538624,1646.646266,70047.11717,0.7042,48679.6,10931805.0
2023,11009.031828,6769.025764,48.023906,1353.034276,30742.99833,12811.870536,1528.446656,72803.278914,0.7242000000000001,52847.5,11064432.0
